number,created_at,updated_at,url,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,dismissed_comment,rule.id,rule.severity,rule.description,rule.name,rule.tags,tool.name,tool.guid,tool.version,most_recent_instance.ref,most_recent_instance.analysis_key,most_recent_instance.environment,most_recent_instance.category,most_recent_instance.state,most_recent_instance.commit_sha,most_recent_instance.message.text,most_recent_instance.location.path,most_recent_instance.location.start_line,most_recent_instance.location.end_line,most_recent_instance.location.start_column,most_recent_instance.location.end_column,most_recent_instance.classifications,instances_url,rule.security_severity_level,dismissed_by.login,dismissed_by.id,dismissed_by.node_id,dismissed_by.avatar_url,dismissed_by.gravatar_id,dismissed_by.url,dismissed_by.html_url,dismissed_by.followers_url,dismissed_by.following_url,dismissed_by.gists_url,dismissed_by.starred_url,dismissed_by.subscriptions_url,dismissed_by.organizations_url,dismissed_by.repos_url,dismissed_by.events_url,dismissed_by.received_events_url,dismissed_by.type,dismissed_by.site_admin
172,2023-03-22T20:13:23Z,2023-03-22T20:13:23Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/172,https://github.com/octodemo/vulnerable-node/security/code-scanning/172,fixed,2023-03-22T20:24:20Z,null,null,null,null,docker.io/my-organization/my-app:50003895f9c398cfc99435bb145ac689fa510c9a (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,50003895f9c398cfc99435bb145ac689fa510c9a,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:50003895f9c398cfc99435bb145ac689fa510c9a,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/172/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
169,2023-01-13T05:59:02Z,2023-03-17T05:34:44Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/169,https://github.com/octodemo/vulnerable-node/security/code-scanning/169,fixed,2023-03-22T20:13:23Z,null,null,null,null,docker.io/my-organization/my-app:aa81e832d01b5c5d4565bd68dcfb9e8bae681bbc (ubuntu 16.04): linux-libc-dev-4.4.0-210.242 CVE-2022-0400,warning,CVE-2022-0400 Package: linux-libc-dev,OS Package Vulnerability (Ubuntu),"[""MEDIUM"",""linux-libc-dev"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,aa81e832d01b5c5d4565bd68dcfb9e8bae681bbc,"An out-of-bounds read vulnerability was discovered in linux kernel in the smc protocol stack, causing remote dos.",docker.io/my-organization/my-app:aa81e832d01b5c5d4565bd68dcfb9e8bae681bbc,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/169/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
168,2023-01-12T16:35:56Z,2023-07-14T05:47:06Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/168,https://github.com/octodemo/vulnerable-node/security/code-scanning/168,open,null,null,null,null,null,Node.js: ms-0.7.2 CVE-2017-20162,warning,CVE-2017-20162 Package: ms,Other Vulnerability (Node-Pkg),"[""MEDIUM"",""ms"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,"A vulnerability, which was classified as problematic, has been found in vercel ms up to 1.x. This issue affects the function parse of the file index.js. The manipulation of the argument str leads to inefficient regular expression complexity. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. Upgrading to version 2.0.0 is able to address this issue. The name of the patch is caae2988ba2a37765d055c4eee63d383320ee662. It is recommended to upgrade the affected component. The associated identifier of this vulnerability is VDB-217451.",Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/168/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
167,2023-01-12T16:35:56Z,2023-07-14T05:47:06Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/167,https://github.com/octodemo/vulnerable-node/security/code-scanning/167,open,null,null,null,null,null,Node.js: ms-0.7.1 CVE-2017-20162,warning,CVE-2017-20162 Package: ms,Other Vulnerability (Node-Pkg),"[""MEDIUM"",""ms"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,"A vulnerability, which was classified as problematic, has been found in vercel ms up to 1.x. This issue affects the function parse of the file index.js. The manipulation of the argument str leads to inefficient regular expression complexity. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. Upgrading to version 2.0.0 is able to address this issue. The name of the patch is caae2988ba2a37765d055c4eee63d383320ee662. It is recommended to upgrade the affected component. The associated identifier of this vulnerability is VDB-217451.",Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/167/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
166,2023-01-12T16:35:56Z,2023-07-14T05:47:06Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/166,https://github.com/octodemo/vulnerable-node/security/code-scanning/166,open,null,null,null,null,null,Node.js: debug-2.2.0 CVE-2017-20165,error,CVE-2017-20165 Package: debug,Other Vulnerability (Node-Pkg),"[""HIGH"",""debug"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,A vulnerability classified as problematic has been found in debug-js debug up to 3.0.x. This affects the function useColors of the file src/node.js. The manipulation of the argument str leads to inefficient regular expression complexity. Upgrading to version 3.1.0 is able to address this issue. The name of the patch is c38a0166c266a679c8de012d4eaccec3f944e685. It is recommended to upgrade the affected component. The identifier VDB-217665 was assigned to this vulnerability.,Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/166/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
164,2022-12-09T05:34:39Z,2023-01-13T05:59:02Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/164,https://github.com/octodemo/vulnerable-node/security/code-scanning/164,fixed,2023-01-20T05:34:57Z,null,null,null,null,Node.js: express-4.13.4 CVE-2022-24999,error,CVE-2022-24999 Package: express,Other Vulnerability (Node-Pkg),"[""HIGH"",""express"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,fixed,aa81e832d01b5c5d4565bd68dcfb9e8bae681bbc,"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&amp;a[__proto__]&amp;a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has &#34;deps: qs@6.9.7&#34; in its release description, is not vulnerable).",Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/164/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
163,2022-12-06T20:24:39Z,2023-07-14T05:47:06Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/163,https://github.com/octodemo/vulnerable-node/security/code-scanning/163,open,null,null,null,null,null,Node.js: qs-4.0.0 CVE-2022-24999,error,CVE-2022-24999 Package: qs,Other Vulnerability (Node-Pkg),"[""HIGH"",""qs"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&amp;a[__proto__]&amp;a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has &#34;deps: qs@6.9.7&#34; in its release description, is not vulnerable).",Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/163/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
162,2022-07-08T15:56:29Z,2022-07-08T15:56:29Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/162,https://github.com/octodemo/vulnerable-node/security/code-scanning/162,fixed,2022-07-15T15:46:57Z,null,null,null,null,ejs_ect_template,error,,EjsEctTemplate,[],nodejsscan,null,0.3.6,refs/heads/main,.github/workflows/njsscan-analysis.yml:njsscan,{},.github/workflows/njsscan-analysis.yml:njsscan,fixed,36ab7c174a0e19b333c268ae35eeab7fd4a60c34,The EJS/ECT template has an unescaped variable. Untrusted user input passed to this variable results in Cross Site Scripting (XSS).,views/products.ejs,18,18,597,615,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/162/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
161,2022-06-03T15:45:54Z,2022-06-03T15:45:54Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/161,https://github.com/octodemo/vulnerable-node/security/code-scanning/161,fixed,2022-06-10T15:46:27Z,null,null,null,null,ejs_ect_template,error,,EjsEctTemplate,[],nodejsscan,null,0.3.6,refs/heads/main,.github/workflows/njsscan-analysis.yml:njsscan,{},.github/workflows/njsscan-analysis.yml:njsscan,fixed,36ab7c174a0e19b333c268ae35eeab7fd4a60c34,The EJS/ECT template has an unescaped variable. Untrusted user input passed to this variable results in Cross Site Scripting (XSS).,views/products.ejs,19,19,675,709,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/161/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
160,2022-05-20T15:47:13Z,2022-05-20T15:47:13Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/160,https://github.com/octodemo/vulnerable-node/security/code-scanning/160,fixed,2022-05-27T15:46:59Z,null,null,null,null,ejs_ect_template,error,,EjsEctTemplate,[],nodejsscan,null,0.3.6,refs/heads/main,.github/workflows/njsscan-analysis.yml:njsscan,{},.github/workflows/njsscan-analysis.yml:njsscan,fixed,36ab7c174a0e19b333c268ae35eeab7fd4a60c34,The EJS/ECT template has an unescaped variable. Untrusted user input passed to this variable results in Cross Site Scripting (XSS).,views/search.ejs,26,26,661,685,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/160/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
157,2022-04-29T15:49:47Z,2022-04-29T15:49:47Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/157,https://github.com/octodemo/vulnerable-node/security/code-scanning/157,fixed,2022-04-29T16:48:47Z,null,null,null,null,ejs_ect_template,error,,EjsEctTemplate,[],nodejsscan,null,0.3.6,refs/heads/main,.github/workflows/njsscan-analysis.yml:njsscan,{},.github/workflows/njsscan-analysis.yml:njsscan,fixed,0a5db27b92fecc2013dd0d11fd4f3e67dbd62269,The EJS/ECT template has an unescaped variable. Untrusted user input passed to this variable results in Cross Site Scripting (XSS).,views/product_detail.ejs,8,8,158,178,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/157/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
156,2022-04-29T05:37:03Z,2023-07-14T05:47:06Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/156,https://github.com/octodemo/vulnerable-node/security/code-scanning/156,open,null,null,null,null,null,Node.js: ejs-2.7.4 CVE-2022-29078,error,CVE-2022-29078 Package: ejs,Other Vulnerability (Node-Pkg),"[""CRITICAL"",""ejs"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,"The ejs (aka Embedded JavaScript templates) package 3.1.6 for Node.js allows server-side template injection in settings[view options][outputFunctionName]. This is parsed as an internal option, and overwrites the outputFunctionName option with an arbitrary OS command (which is executed upon template compilation).",Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/156/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
155,2022-04-29T05:37:03Z,2023-07-14T05:47:06Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/155,https://github.com/octodemo/vulnerable-node/security/code-scanning/155,open,null,null,null,null,null,Node.js: ejs-0.8.8 CVE-2022-29078,error,CVE-2022-29078 Package: ejs,Other Vulnerability (Node-Pkg),"[""CRITICAL"",""ejs"",""vulnerability""]",Trivy,null,0.15.0,refs/heads/main,.github/workflows/trivy-analysis.yml:run,{},.github/workflows/trivy-analysis.yml:run,open,45265a6067c3586bc237bd99ee6c8614495d7c37,"The ejs (aka Embedded JavaScript templates) package 3.1.6 for Node.js allows server-side template injection in settings[view options][outputFunctionName]. This is parsed as an internal option, and overwrites the outputFunctionName option with an arbitrary OS command (which is executed upon template compilation).",Node.js,1,1,1,1,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/155/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
154,2022-04-22T15:47:31Z,2022-04-22T15:47:31Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/154,https://github.com/octodemo/vulnerable-node/security/code-scanning/154,fixed,2022-04-29T15:49:47Z,null,null,null,null,ejs_ect_template,error,,EjsEctTemplate,[],nodejsscan,null,0.3.6,refs/heads/main,.github/workflows/njsscan-analysis.yml:njsscan,{},.github/workflows/njsscan-analysis.yml:njsscan,fixed,0a5db27b92fecc2013dd0d11fd4f3e67dbd62269,The EJS/ECT template has an unescaped variable. Untrusted user input passed to this variable results in Cross Site Scripting (XSS).,views/search.ejs,23,23,530,542,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/154/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
153,2022-04-08T15:51:09Z,2022-04-29T16:48:47Z,https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/153,https://github.com/octodemo/vulnerable-node/security/code-scanning/153,fixed,2022-05-06T15:47:07Z,null,null,null,null,ejs_ect_template,error,,EjsEctTemplate,[],nodejsscan,null,0.3.6,refs/heads/main,.github/workflows/njsscan-analysis.yml:njsscan,{},.github/workflows/njsscan-analysis.yml:njsscan,fixed,36ab7c174a0e19b333c268ae35eeab7fd4a60c34,The EJS/ECT template has an unescaped variable. Untrusted user input passed to this variable results in Cross Site Scripting (XSS).,views/bought_products.ejs,27,27,682,713,[],https://api.github.com/repos/octodemo/vulnerable-node/code-scanning/alerts/153/instances,undefined,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
